id	clr	W
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Haloferacaceae;g__Haloplanus	1.7275635555677535	92
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Haloferacaceae;g__Haloquadratum	1.8381101962546622	58
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Haloferacaceae;g__Halorubellus	1.093262226343315	102
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Haloferacaceae;g__Halorubrum	1.0290005121066352	43
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Haloferacaceae;g__Halorussus	1.8013251295895887	1258
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Haloferacaceae;g__Halostagnicola	0.07991487890928634	59
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Haloferacaceae;g__Haloterrigena	2.271122354134657	410
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Haloferacaceae;g__Halovenus	0.3808395613123661	34
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Haloferacaceae;g__Halovivax	0.7438999683874757	35
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Haloferacaceae;g__Natrialba	-0.8370852121908963	117
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Haloferacaceae;g__Natrinema	-0.1160386848015186	72
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Haloferacaceae;g__Natronoarchaeum	0.46253890021872446	48
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Haloferacaceae;g__Natronobacterium	-0.4911838229873455	91
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Haloferacaceae;g__Natronococcus	-2.9488992102661666	2257
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Haloferacaceae;g__Natronolimnobius	-1.0055367672892042	145
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Haloferacaceae;g__Natronorubrum	-1.6876504205880332	301
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Haloferacaceae;g__Salinarchaeum	0.1236154302855137	59
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Haloferacaceae;g__Salinigranum	0.5532472259440816	56
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Haloferacaceae;g__Saliphagus	-0.27532441676280284	81
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Haloferacaceae;g__uncultured	0.4091292968769126	37
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Halomicrobiaceae;__	0.7851231231985445	52
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Halomicrobiaceae;g__Candidatus_Halobonum	1.181629383703843	104
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Halomicrobiaceae;g__Halapricum	0.7445843201935372	47
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Halomicrobiaceae;g__Haloarcula	1.6662238063650876	46
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Halomicrobiaceae;g__Halomarina	2.144114801019728	1069
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Halomicrobiaceae;g__Halomicroarcula	2.3470813429199486	1244
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Halomicrobiaceae;g__Halomicrobiaceae	1.3070616406800157	80
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Halomicrobiaceae;g__Halomicrobium	2.0622126720155336	270
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Halomicrobiaceae;g__Halorhabdus	-0.0765310298136897	63
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Halomicrobiaceae;g__Halorientalis	0.8525359251139315	49
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Halomicrobiaceae;g__Halosimplex	0.044081393451713746	64
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Halomicrobiaceae;g__Natronomonas	1.9476126521638175	54
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Halomicrobiaceae;g__uncultured	0.9293643608730898	58
d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocalculus	-0.3910714276397783	90
d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarciniales;f__ANME-2a-2b;g__ANME-2a-2b	-0.19803362867825192	81
d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarciniales;f__Methanosarcinaceae;g__Methanococcoides	-0.21147640825104108	82
d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarciniales;f__Methanosarcinaceae;g__Methanohalophilus	-0.21147640825104108	82
d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarciniales;f__Methanosarcinaceae;g__Methanolobus	-0.2881530096340559	82
d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarciniales;f__Methanosarcinaceae;g__Methanosarcina	-0.16155219812246524	83
d__Archaea;p__Iainarchaeota;c__Iainarchaeia;o__Iainarchaeales;f__Iainarchaeales;g__Candidatus_Iainarchaeum	-0.4388371793210004	99
d__Archaea;p__Iainarchaeota;c__Iainarchaeia;o__Iainarchaeales;f__Iainarchaeales;g__Iainarchaeales	-0.10690162616919735	71
d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Micrarchaeales;f__Micrarchaeales;g__Micrarchaeales	-0.49911084719577825	103
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;__;__	-0.37861283198413315	71
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__GW2011;g__AR15	-0.2435400735509132	71
