sample id
Sample-1.3X
Sample-1.5X
Sample-10C
Sample-10F
Sample-10M
Sample-11C
Sample-11F
Sample-11M
Sample-12.10X
Sample-12.9X
Sample-12C
Sample-12F
Sample-12M
Sample-13C
Sample-13F
Sample-13M
Sample-14C
Sample-14F
Sample-14M
Sample-15C
Sample-15F
Sample-15M
Sample-16C
Sample-16F
Sample-16M
Sample-17C
Sample-17F
Sample-17M
Sample-18C
Sample-18F
Sample-18M
Sample-19C
Sample-19F
Sample-19M
Sample-1C
Sample-1F
Sample-1M
Sample-2.17X
Sample-2.7X
Sample-20C
Sample-20F
Sample-20M
Sample-21C
Sample-21F
Sample-21M
Sample-22C
Sample-22F
Sample-22M
Sample-23C
Sample-23F
Sample-23M
Sample-24C
Sample-24F
Sample-24M
Sample-25C
Sample-25F
Sample-25M
Sample-26C
Sample-26F
Sample-26M
Sample-27C
Sample-27F
Sample-27M
Sample-28C
Sample-28F
Sample-28M
Sample-29C
Sample-29F
Sample-29M
Sample-2C
Sample-2F
Sample-2M
Sample-3.17X
Sample-3.22X
Sample-3.24X
Sample-3.3X
Sample-30C
Sample-30F
Sample-30M
Sample-31C
Sample-31F
Sample-31M
Sample-32C
Sample-32F
Sample-32M
Sample-33C
Sample-33F
Sample-33M
Sample-34C
Sample-34F
Sample-34M
Sample-35C
Sample-35F
Sample-35M
Sample-36C
Sample-36F
Sample-36M
Sample-37C
Sample-37F
Sample-37M
Sample-38C
Sample-38F
Sample-38M
Sample-39C
Sample-39F
Sample-39M
Sample-3C
Sample-3F
Sample-3M
Sample-4.14X
Sample-4.5X
Sample-4.7X
Sample-40C
Sample-40F
Sample-40M
Sample-41C
Sample-41F
Sample-41M
Sample-42C
Sample-42F
Sample-42M
Sample-43C
Sample-43F
Sample-43M
Sample-44C
Sample-44F
Sample-44M
Sample-45C
Sample-45F
Sample-45M
Sample-46C
Sample-46F
Sample-46M
Sample-47C
Sample-47F
Sample-47M
Sample-48C
Sample-48F
Sample-48M
Sample-49C
Sample-49F
Sample-49M
Sample-4C
Sample-4F
Sample-4M
Sample-50C
Sample-50F
Sample-50M
Sample-51C
Sample-51F
Sample-51M
Sample-53C
Sample-53F
Sample-53M
Sample-54C
Sample-54F
Sample-54M
Sample-55C
Sample-55F
Sample-55M
Sample-56C
Sample-56F
Sample-56M
Sample-57C
Sample-57F
Sample-57M
Sample-58C
Sample-58F
Sample-58M
Sample-59C
Sample-59F
Sample-59M
Sample-5C
Sample-5F
Sample-5M
Sample-60C
Sample-60F
Sample-60M
Sample-61C
Sample-61F
Sample-61M
Sample-62C
Sample-62F
Sample-62M
Sample-63C
Sample-63F
Sample-63M
Sample-64C
Sample-64F
Sample-64M
Sample-65C
Sample-65F
Sample-65M
Sample-66C
Sample-66F
Sample-66M
Sample-6C
Sample-6F
Sample-6M
Sample-7C
Sample-7F
Sample-7M
Sample-8.10X
Sample-8.11X
Sample-8.12X
Sample-8.16X
Sample-8.17X
Sample-8.4X
Sample-8.5X
Sample-8C
Sample-8F
Sample-8M
Sample-9.6X
Sample-9.8X
Sample-9.9X
Sample-9C
Sample-9F
Sample-9M
